Source,Target,Weight
1,6,0.167
1,12,0.2
1,16,14.2
1,17,10.2
1,20,10.5
1,22,16.25
1,23,5.167
1,25,2.2
1,27,59.333
1,28,159.5
1,29,4.167
1,30,25.2
1,32,15.143
1,33,2.143
1,34,3.25
1,38,4.0
1,39,1.333
1,41,0.25
1,42,2.0
1,45,1.0
1,46,0.333
1,47,0.143
1,48,0.25
1,49,0.25
1,50,0.2
1,51,0.25
1,52,0.125
1,54,0.333
1,56,0.5
1,58,0.333
1,59,0.167
1,60,0.5
1,61,0.167
1,62,0.333
1,63,0.5
6,1,0.167
6,12,16.333
6,16,0.333
6,17,0.2
6,20,1.25
6,22,0.167
6,23,0.25
6,25,274.0
6,27,0.2
6,28,0.167
6,29,0.5
6,30,4.0
6,32,0.333
6,33,1.0
6,34,0.25
6,38,0.2
6,39,0.143
6,41,0.167
6,42,0.143
6,45,0.2
6,46,0.333
6,47,0.333
6,48,0.5
6,49,0.5
6,50,0.2
6,51,0.25
6,52,0.5
6,54,0.333
6,56,0.167
6,58,0.143
6,59,0.25
6,60,0.125
6,61,0.5
6,62,0.2
6,63,0.25
12,1,0.2
12,6,16.333
12,16,43.25
12,17,329.25
12,20,6.333
12,22,0.333
12,23,4.0
12,25,4.25
12,27,1.25
12,28,23.2
12,29,83.0
12,30,8.5
12,32,5.5
12,33,1.5
12,34,7.0
12,38,0.25
12,39,0.25
12,41,0.2
12,42,0.167
12,45,0.25
12,46,1.5
12,47,0.167
12,48,0.333
12,49,1.0
12,50,0.5
12,51,0.333
12,52,0.333
12,54,0.5
12,56,0.333
12,58,0.167
12,59,0.2
12,60,0.143
12,61,0.2
12,62,0.5
12,63,0.333
16,1,14.2
16,6,0.333
16,12,43.25
16,17,488.5
16,20,258.333
16,22,21.143
16,23,3.2
16,25,4.5
16,27,0.5
16,28,0.333
16,29,2.333
16,30,4.5
16,32,2.25
16,33,7.25
16,34,5.2
16,38,0.25
16,39,0.125
16,41,2.333
16,42,4.25
16,45,1.167
16,46,1.25
16,47,0.5
16,48,2.0
16,49,1.333
16,50,0.167
16,51,1.0
16,52,0.2
16,54,0.5
16,56,0.143
16,58,0.25
16,59,1.0
16,60,0.2
16,61,1.0
16,62,0.167
16,63,0.2
17,1,10.2
17,6,0.2
17,12,329.25
17,16,488.5
17,20,79.333
17,22,6.143
17,23,43.2
17,25,3.25
17,27,1.5
17,28,13.333
17,29,8.2
17,30,5.25
17,32,0.167
17,33,3.167
17,34,8.2
17,38,0.25
17,39,8.125
17,41,5.0
17,42,0.25
17,45,0.167
17,46,0.25
17,47,0.5
17,48,0.333
17,49,0.333
17,50,0.167
17,51,1.0
17,52,0.143
17,54,0.5
17,56,0.143
17,58,0.5
17,59,1.0
17,60,0.333
17,61,0.333
17,62,0.167
17,63,0.2
20,1,10.5
20,6,1.25
20,12,6.333
20,16,258.333
20,17,79.333
20,22,426.25
20,23,3.25
20,25,8.333
20,27,67.0
20,28,4.5
20,29,4.25
20,30,0.333
20,32,2.2
20,33,4.2
20,34,2.5
20,38,23.0
20,39,11.2
20,41,5.5
20,42,0.333
20,45,1.333
20,46,4.0
20,47,1.2
20,48,4.5
20,49,6.5
20,50,0.333
20,51,0.5
20,52,0.167
20,54,1.0
20,56,0.25
20,58,0.333
20,59,0.25
20,60,0.25
20,61,0.25
20,62,0.333
20,63,0.5
22,1,16.25
22,6,0.167
22,12,0.333
22,16,21.143
22,17,6.143
22,20,426.25
22,23,97.5
22,25,28.143
22,27,0.2
22,28,145.25
22,29,1.25
22,30,0.2
22,32,18.333
22,33,1.2
22,34,1.5
22,38,2.333
22,39,3.0
22,41,2.167
22,42,6.2
22,45,14.333
22,46,2.333
22,47,0.111
22,48,1.167
22,49,4.25
22,50,1.0
22,51,0.167
22,52,0.25
22,54,0.2
22,56,0.5
22,58,0.2
22,59,0.125
22,60,0.167
22,61,0.125
22,62,1.0
22,63,0.5
23,1,5.167
23,6,0.25
23,12,4.0
23,16,3.2
23,17,43.2
23,20,3.25
23,22,97.5
23,25,229.2
23,27,69.2
23,28,2.167
23,29,18.5
23,30,132.333
23,32,10.0
23,33,6.333
23,34,2.5
23,38,11.2
23,39,11.333
23,41,2.167
23,42,0.143
23,45,1.2
23,46,9.333
23,47,3.143
23,48,0.25
23,49,5.5
23,50,1.0
23,51,0.25
23,52,0.5
23,54,0.333
23,56,2.25
23,58,0.143
23,59,0.167
23,60,0.125
23,61,0.167
23,62,0.333
23,63,0.25
25,1,2.2
25,6,274.0
25,12,4.25
25,16,4.5
25,17,3.25
25,20,8.333
25,22,28.143
25,23,229.2
25,27,63.25
25,28,0.2
25,29,26.333
25,30,8.5
25,32,3.25
25,33,6.5
25,34,14.2
25,38,2.25
25,39,2.125
25,41,2.2
25,42,19.167
25,45,3.167
25,46,0.25
25,47,0.5
25,48,4.0
25,49,0.333
25,50,0.167
25,51,1.333
25,52,1.333
25,54,1.5
25,56,1.143
25,58,0.167
25,59,0.333
25,60,0.143
25,61,1.0
25,62,0.167
25,63,0.2
27,1,59.333
27,6,0.2
