ID,Label,num_member
1,Household 1,22
6,Household 6,21
12,Household 12,21
16,Household 16,20
17,Household 17,20
20,Household 20,21
22,Household 22,19
23,Household 23,22
25,Household 25,2
27,Household 27,19
28,Household 28,8
29,Household 29,23
30,Household 30,22
32,Household 32,19
33,Household 33,20
34,Household 34,19
38,Household 38,19
39,Household 39,22
41,Household 41,20
42,Household 42,18
45,Household 45,21
46,Household 46,16
47,Household 47,22
48,Household 48,20
49,Household 49,21
50,Household 50,21
51,Household 51,17
52,Household 52,21
54,Household 54,23
56,Household 56,22
58,Household 58,19
59,Household 59,20
60,Household 60,18
61,Household 61,12
62,Household 62,21
63,Household 63,22
